open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,taker_buy_asset_volume,taker_buy_quote_volume,number_of_trades,price
1734502800000,103769.55000000,103932.03000000,103667.51000000,103858.43000000,76.87182000,1734503099999,7980092.83591050,26223,43.11830000,4475978.45440040,103813.98999999999
1734503100000,103858.43000000,104000.21000000,103824.85000000,103945.65000000,84.79673000,1734503399999,8815262.06249390,20131,59.01207000,6134871.53077410,103902.04
1734503400000,103945.65000000,103948.95000000,103685.26000000,103814.52000000,111.78068000,1734503699999,11600277.40401750,26594,50.44406000,5234906.44210130,103880.08499999999
1734503700000,103814.52000000,103820.00000000,103659.48000000,103723.99000000,63.39678000,1734503999999,6577968.33390770,22907,34.28268000,3557226.05589650,103769.255
1734504000000,103724.00000000,103760.00000000,103611.43000000,103611.43000000,44.34899000,1734504299999,4598885.88517460,25545,23.01463000,2386763.22397610,103667.715
1734504300000,103611.43000000,103629.99000000,103137.82000000,103472.22000000,699.73342000,1734504599999,72329267.54953370,70639,211.83453000,21898854.90372430,103541.825
1734504600000,103472.22000000,103780.08000000,103440.56000000,103735.92000000,148.08636000,1734504899999,15352435.11343210,42908,72.59636000,7524142.17874610,103604.07
1734504900000,103735.92000000,103801.93000000,103620.00000000,103794.65000000,87.76629000,1734505199999,9104446.83533080,24782,54.53345000,5657110.93237480,103765.285
1734505200000,103794.65000000,103900.00000000,103702.32000000,103900.00000000,104.75579000,1734505499999,10874074.90898910,30066,55.41493000,5752995.14716440,103847.325
1734505500000,103900.00000000,104208.46000000,103900.00000000,104196.00000000,175.87877000,1734505799999,18298417.01877970,27961,121.78481000,12671048.55664500,104048.0
1734505800000,104196.00000000,104238.98000000,104102.48000000,104225.91000000,161.51901000,1734506099999,16825081.84227100,24998,97.30133000,10136100.02358700,104210.955
1734506100000,104225.91000000,104238.97000000,104100.00000000,104139.38000000,144.31306000,1734506399999,15034458.30713130,27817,82.54458000,8599869.40674360,104182.645
1734506400000,104139.38000000,104259.64000000,104139.37000000,104190.20000000,97.65742000,1734506699999,10175965.21324070,17441,80.98172000,8438309.87933110,104164.79000000001
1734506700000,104190.19000000,104190.20000000,104121.18000000,104158.08000000,77.78244000,1734506999999,8101076.99031560,8048,58.95421000,6140107.79375420,104174.13500000001
1734507000000,104158.08000000,104158.08000000,103979.62000000,103985.82000000,92.11861000,1734507299999,9588336.46883140,22453,26.34242000,2741983.95729020,104071.95000000001
